mid,latency_ms,accepted_s1,accepted_s2,consensus_accept,reason_s1,reason_s2,is_attack,attack_type,t_verify_ms,t_fresh_ms,t_consensus_ms,t_total_ms,violated_urlcc,epoch,false_reject_freshness
100,1.2948246521990343,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.7148246521990342,False,0,False
101,1.6147153174976059,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.034715317497606,False,0,False
102,1.1856543349298552,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.605654334929855,False,0,False
103,1.3242859900045563,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.7442859900045562,False,0,False
104,1.7935001743943817,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.2135001743943814,False,0,False
105,1.4004144596794617,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.8204144596794616,False,0,False
106,1.2595249143376714,False,False,False,REJECT(sig),REJECT(sig),True,replay,0.25,0.02,0.15,1.6795249143376714,False,0,False
107,1.7548414807611357,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.1748414807611356,False,0,False
108,1.514366182016177,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.9343661820161768,False,0,False
109,1.7759775401937725,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.1959775401937724,False,0,False
110,1.2818672352860152,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.7018672352860151,False,0,False
111,1.5960941734410254,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.0160941734410254,False,0,False
112,1.1435475631877687,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.5635475631877687,False,0,False
113,1.7831208218989212,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.203120821898921,False,0,False
114,1.4033283991845296,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.8233283991845295,False,0,False
